dataset,title,publisher_name,distribution_link,publication_year,publisher_short,file_forma,file_format
https://www.datenportal.bmbf.de/portal/2.3.13,Schüler/-innen mit sonderpädagogischem Förderbedarf an Förderschulen und allgemeinen Schulen nach Förderschwerpunkten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/grafik-2.3.13.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.5.24,Weibliche Studierende insgesamt und weibliche deutsche Studierende nach Hochschularten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.24.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.5.24,Weibliche Studierende insgesamt und weibliche deutsche Studierende nach Hochschularten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.24.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.5.24,Weibliche Studierende insgesamt und weibliche deutsche Studierende nach Hochschularten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.24.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.5.24,Weibliche Studierende insgesamt und weibliche deutsche Studierende nach Hochschularten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.24.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.5.102,"Habilitationen insgesamt, von Männern, Frauen, Deutschen und Ausländer/-innen nach Ländern",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.102.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.5.102,"Habilitationen insgesamt, von Männern, Frauen, Deutschen und Ausländer/-innen nach Ländern",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.102.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.5.102,"Habilitationen insgesamt, von Männern, Frauen, Deutschen und Ausländer/-innen nach Ländern",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.102.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.5.102,"Habilitationen insgesamt, von Männern, Frauen, Deutschen und Ausländer/-innen nach Ländern",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.102.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.3.29,Nebenberufliche Lehrerinnen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.29.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.3.29,Nebenberufliche Lehrerinnen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.29.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.3.29,Nebenberufliche Lehrerinnen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.29.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.3.29,Nebenberufliche Lehrerinnen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.29.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/bild-60,Verteilung der Absolventinnen und Absolventen im Tertiärbereich nach Fächergruppen in ausgewählten OECD-Staaten (2019),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/de/bild-60.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.4.2,Berufliche Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.4.2.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.4.2,Berufliche Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.4.2.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.4.2,Berufliche Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.4.2.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.4.2,Berufliche Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.4.2.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/1.8.15,Prozessinnovatorenquote nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.15.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/1.8.15,Prozessinnovatorenquote nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.15.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/1.8.15,Prozessinnovatorenquote nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.15.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/1.8.15,Prozessinnovatorenquote nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.15.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.3.9,Ausländische Schüler/-innen an allgemeinbildenden Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.9.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.3.9,Ausländische Schüler/-innen an allgemeinbildenden Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.9.xls,,BMBF,xls,xls
